No. Race / Course,Course,Date,Time,Race Name,Class,Distance (f),Going,Surface,Number,Horse,age,Position,Decimal Odds,Draw,Jockey,Trainer,Weight (lbs),Beaten By,,,
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,7,Eric Lock (GB),3,3,9.5,5,Emily Grifferty,Noel Meade,123,1,Took keen hold - led - clear over 3f out - reduced lead under 2f out - headed inside final furlong - kept on(op 11/2 tchd 5/1),01:27.5,https://www.rp-assets.com/svg/0/5/7/323750.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,6,Sakakawea (IRE),4,4,15,2,Colin Keane,T M Walsh,134,3,Took keen hold - midfield - headway on far side of group 2f out - no extra final 110yds(op 12/1),01:28.0,https://www.rp-assets.com/svg/5/2/0/37025.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,8,Lahore Da King (IRE),3,5,41,11,Iqbal Khan,Anthony Mullins,126,0.5,Took keen hold - towards rear - headway 2f out - edged right but stayed on inside final furlong(tchd 33/1),01:28.1,https://www.rp-assets.com/svg/2/6/6/309662.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,1,Pete's Dream (IRE),3,6,5.5,15,Sam Coen,Andrew Slattery,134,0.75,In touch with leaders - weakened gradually final 110yds(op 5/1),01:28.2,https://www.rp-assets.com/svg/3/4/8/222843.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,12,Exceeding (IRE),4,7,41,6,Orla Tynan,Andrew Slattery,115,1.25,Prominent - lost position 3f out - weakened gradually inside final furlong(op 33/1),01:28.4,https://www.rp-assets.com/svg/4/2/6/332624.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,14,Dark Willow (IRE),5,8,67,3,Rory Cleary,Mrs Mary Whelehan,122,0.2,Towards rear - some headway 2f out - kept on inside final furlong(op 40/1),01:28.5,https://www.rp-assets.com/svg/0/8/0/35080.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,3,Distillate (GB),5,9,6.5,16,Ronan Whelan,Adrian McGuinness,137,1.5,Took keen hold - midfield on outer - weakened final furlong(op 7/1),01:28.7,https://www.rp-assets.com/svg/5/1/6/327615.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,9,Miss Princess (IRE),3,10,51,17,Ben Coen,Michael Mulvany,133,0.2,Dwelt start - towards rear - some headway 2f out - no extra final 110yds,01:28.8,https://www.rp-assets.com/svg/c/6/5/48856c.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,2,Storm Eric (IRE),6,11,67,13,Robbie Colgan,Jamie Flynn,139,0.3,In rear - some headway when towards near side over 1f out - never dangerous(op 33/1),01:28.8,https://www.rp-assets.com/svg/7/2/8/325827.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,11,Lorr's Girl (IRE),4,12,13,10,Julian Pietropaolo,Rodger Sweeney,125,0.75,Midfield - weakened 2f out,01:28.9,https://www.rp-assets.com/svg/5/1/7/305715.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,13,Chica Power (IRE),7,13,29,4,Jimmy Dalton,A J Martin,115,0.5,Prominent - weakened 2f out(op 18/1),01:29.0,https://www.rp-assets.com/svg/3/3/9/297933.svg
,Dundalk (AW) (IRE),2025-11-19,2:20,Dundalk Stadium Gift Vouchers Available Online Handicap,,7f,Standard,AW,10,Shelbourne Flyer (IRE),4,14,9,7,Shane Foley,John C McConnell,133,9.5,Midfield - lost ground over 2f out - eased final furlong(op 13/2),01:30.6,https://www.rp-assets.com/svg/4/1/6/320614.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,3,Battleforsupremacy (IRE),2,1,6,13,Scott McCullagh,Daniel McLoughlin,136,0,In touch with leaders - headway over 2f out - hung left over 1f out - soon ridden to lead - kept on(op 11/1),01:27.7,https://www.rp-assets.com/svg/5/9/1/308195.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,4,Monvoe (IRE),2,2,5.5,12,Jack Kearney,R P Cody,133,0.3,Held up in midfield - headway over 2f out - went second inside final furlong - switched right inside final 110yds - kept on well(tchd 5/1),01:27.8,https://www.rp-assets.com/svg/8/8/2/359288.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,6,Iff In Doubt (IRE),2,3,34,16,Enola Pollet,Edward Lynam,125,1.5,Held up in rear - headway over 2f out - switched left inside final furlong - went third towards finish,01:28.0,https://www.rp-assets.com/svg/3/6/5/23563.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,1,Enthusiastically (IRE),2,4,5,1,Paddy Harnett,Donnacha Aidan O'Brien,133,0.3,Led - headed over 1f out - no extra inside final 110yds - lost third towards finish(op 3/1 tchd 11/4),01:28.1,https://www.rp-assets.com/svg/2/3/8/256832.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,13,Wedding Year (IRE),2,5,34,5,Julian Pietropaolo,Adrian McGuinness,116,0.5,Held up in rear - headway over 1f out - not pace to challenge,01:28.1,https://www.rp-assets.com/svg/4/0/0/211004.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,14,Beau Army (IRE),2,6,29,2,Jamie Powell,Adrian McGuinness,121,0.5,Towards rear - headway over 1f out - not pace to challenge(op 18/1 tchd 33/1),01:28.2,https://www.rp-assets.com/svg/4/8/4/362484.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,10,Luna Beaux (IRE),2,7,15,8,Adam Grant,Miss Kate McGivern,121,1.5,Prominent - raced in third after 2f - pressed leader over 1f out - weakened gradually inside final furlong(tchd 16/1),01:28.5,https://www.rp-assets.com/svg/2/1/6/348612.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,11,Sapphire Dream (IRE),2,8,7.5,15,Jimmy Dalton,Andrew Slattery,121,0.2,Midfield - edged left when outpaced over 1f out - no impression(op 7/1 tchd 15/2),01:28.6,https://www.rp-assets.com/svg/5/0/7/150705.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,12,Doitforjill Ronnie (IRE),2,9,41,9,Darragh O'Sullivan,Donncha Duggan,120,0.1,Dwelt start - towards rear - some headway over 1f out - no extra inside final 110yds(op 33/1),01:28.6,https://www.rp-assets.com/svg/2/6/7/361762.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,2,Saxon Grace (IRE),2,10,10,14,Dylan O'Connor,Ms Claire O'Connell,130,0.3,Raced wide - never better than midfield(op 7/1),01:28.6,https://www.rp-assets.com/svg/0/4/9/329940.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,8,Another Nice'day (IRE),2,11,5.5,3,Rory Cleary,Miss Jennifer Anne Lynch,133,1.75,In touch with leaders - weakened over 1f out,01:28.9,https://www.rp-assets.com/svg/1/1/9/49911.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,5,Royal County Glory (IRE),2,12,11,17,Robbie Colgan,Kevin Michael Smith,136,1.25,Prominent - pressed leader after 2f - lost ground over 3f out - hung left when weakening over 1f out(op 11/1),01:29.1,https://www.rp-assets.com/svg/0/6/3/193360.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,17,Carnival Spirit (IRE),2,13,41,10,Aileen O'Sullivan,S Michael Millar,112,18,Never better than midfield(op 33/1),01:32.1,https://www.rp-assets.com/svg/4/6/4/144464.svg
,Dundalk (AW) (IRE),2025-11-19,2:55,Irishinjuredjockeys.com Nursery Handicap,,7f,Standard,AW,9,Dream Legend (IRE),2,14,81,7,Kyle Faulkner,E D Delany,121,13,Virtually refused to race - always behind(op 66/1),01:34.3,https://www.rp-assets.com/svg/5/4/3/52345.svg
,Dundalk (AW) (IRE),2025-11-19,3:25,Now Racing Every Wednesday At Dundalk Maiden,,6f,Standard,AW,1,Ballintogher (IRE),3,1,3.25,6,Shane Foley,Daniel James Murphy,134,0,Prominent - ridden over 1f out - led inside final 110yds - kept on(op 13/8),01:14.6,https://www.rp-assets.com/svg/8/8/5/100588.svg
,Dundalk (AW) (IRE),2025-11-19,3:25,Now Racing Every Wednesday At Dundalk Maiden,,6f,Standard,AW,5,Heaven's Wish (IRE),3,2,2.38,4,Killian Leonard,Diego Dias,129,0.5,In touch with leaders - headway to lead over 1f out - no extra when headed inside final 110yds(op 7/2),01:14.7,https://www.rp-assets.com/svg/1/9/5/266591.svg
,Dundalk (AW) (IRE),2025-11-19,3:25,Now Racing Every Wednesday At Dundalk Maiden,,6f,Standard,AW,6,Shamanka (IRE),3,3,11,1,Wayne Lordan,Miss Natalia Lupini,129,3.25,In touch with leaders - headway over 1f out - kept on - not pace to challenge(op 9/2),01:15.2,https://www.rp-assets.com/svg/2/5/6/294652.svg
,Dundalk (AW) (IRE),2025-11-19,3:25,Now Racing Every Wednesday At Dundalk Maiden,,6f,Standard,AW,3,Woolridge (GB),3,4,3.5,2,Ben Coen,A Oliver,134,1.5,Bumped start - towards rear - some headway over 1f out - kept on - no impression(tchd 11/4),01:15.4,https://www.rp-assets.com/svg/i/6/9/16696i.svg
,Dundalk (AW) (IRE),2025-11-19,3:25,Now Racing Every Wednesday At Dundalk Maiden,,6f,Standard,AW,2,Harry Longabaugh (IRE),3,5,29,5,J M Sheridan,P C O'Donnell,134,0.2,Led - headed over 1f out - weakened inside final furlong(op 40/1),01:15.5,https://www.rp-assets.com/svg/2/2/9/358922.svg
,Dundalk (AW) (IRE),2025-11-19,3:25,Now Racing Every Wednesday At Dundalk Maiden,,6f,Standard,AW,4,A Lady Called Sue (IRE),3,6,67,3,Wesley Joyce,Miss Amanda Mooney,126,1.5,Bumped rival start - towards rear throughout(op 50/1),01:15.7,https://www.rp-assets.com/svg/b/8/4/25348b.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,14,Notforalongtime (GB),8,1,34,4,Wayne Hassett,Laura Hourigan,129,0,Dwelt start - in rear - headway over 2f out - carried head awkwardly inside final furlong - soon ridden to lead - faced challenge inside final 110yds - just did enough (trainer said - regarding the apparent improvement in form - gelding stumbled leaving the stalls on its last run and couldn't get into the race thereafter.),01:40.2,https://www.rp-assets.com/svg/2/1/0/310012.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,12,Moyassr (IRE),4,2,4.5,5,Nathan Crosse,Paul W Flynn,133,0.1,Held up in midfield - steady headway over 2f out - soon switched left - pressed winner inside final 110yds - just held(op 10/3),01:40.2,https://www.rp-assets.com/svg/7/5/7/361757.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,8,Daonethatgotaway (GB),5,3,12,10,Reese Holohan,Mark Fahey,125,1.25,Took keen hold - in touch with leaders - headway over 1f out - went third inside final 110yds - kept on(op 9/1 tchd 8/1),01:40.4,https://www.rp-assets.com/svg/1/5/3/350351.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,1,Benavente (GB),7,4,5.5,14,J M Sheridan,Denis Gerard Hogan,140,0.5,Raced wide early - prominent - led after 1f - headed inside final furlong - no extra towards finish(op 5/1),01:40.5,https://www.rp-assets.com/svg/2/9/0/254092.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,5,Velvet Skies (IRE),4,5,23,13,Ben Coen,Michael Mulvany,138,1,Raced wide early - prominent - pressed leader after 1f - prominent after 3f - pressed leader over 2f out - no extra towards finish(op 20/1 tchd 25/1),01:40.7,https://www.rp-assets.com/svg/7/9/4/18497.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,3,Ozark Daze (GB),4,6,9,6,Jack Kearney,Jack W Davison,136,1.25,Raced wide - towards rear - midfield after 3f - headway over 1f out - no extra inside final furlong(op 7/1 tchd 9/1),01:40.9,https://www.rp-assets.com/svg/b/8/2/40028b.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,7,Comfort Line (IRE),8,7,7.5,9,Adam Caffrey,Adrian McGuinness,135,1.25,Prominent soon after start - in touch with leaders after 2f - weakened gradually inside final furlong,01:41.1,https://www.rp-assets.com/svg/3/1/6/328613.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,6,Hurricane Helen (GB),7,8,51,2,Shane Foley,Ross O'Sullivan,137,0.75,Dwelt start - in rear - some headway over 1f out - no telling impression(op 33/1),01:41.2,https://www.rp-assets.com/svg/0/5/8/333850.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,4,Stormie Outlook (IRE),6,9,13,1,Sam Coen,Andrew Slattery,131,0.5,Hampered after 3f - never better than midfield(op 11/1 tchd 14/1),01:41.3,https://www.rp-assets.com/svg/5/9/9/159995.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,9,Everylittlestep (IRE),7,10,6.5,3,Colin Keane,Yvonne Latta,134,0.2,Soon led - headed after 1f - dropped to midfield after 3f - headway over 2f out - weakened inside final furlong(op 13/2),01:41.4,https://www.rp-assets.com/svg/3/3/4/152433.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,13,Rampage (IRE),6,11,9.5,8,James Ryan,T G McCourt,133,0.75,In touch with leaders - dropped to midfield after 2f - weakened inside final furlong(op 9/1 tchd 8/1),01:41.5,https://www.rp-assets.com/svg/2/0/4/333402.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,10,Spanish Princess (IRE),4,12,23,15,Adam Grant,John C McConnell,124,0.05,Prominent - weakened over 1f out(op 28/1),01:41.5,https://www.rp-assets.com/svg/4/3/1/360134.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,2,Hexagonal (IRE),4,13,34,12,Keithen Kennedy,Denis Gerard Hogan,134,0.5,Raced wide - in touch with leaders - hung left over 2f out - soon weakened(op 22/1),01:41.5,https://www.rp-assets.com/svg/6/9/7/88796.svg
,Dundalk (AW) (IRE),2025-11-19,3:55,Christmas Party Nights At Dundalk Stadium Handicap,,8f,Standard,AW,11,Chavajod (GB),7,14,23,16,Wesley Joyce,D P Coakley,130,0.3,Towards rear throughout(op 20/1 tchd 25/1),01:41.6,https://www.rp-assets.com/svg/7/0/0/331007.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,14,Marians Gal (IRE),5,1,7,16,Julian Pietropaolo,Kevin Michael Smith,121,0,Prominent - led going easily over 1f out - soon ridden - went clear inside final furlong - readily(op 7/1),02:16.2,https://www.rp-assets.com/svg/0/3/2/298230.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,11,Tero d'Rosa (IRE),3,2,2.38,7,Shane Foley,Ross O'Sullivan,132,4.25,In touch with leaders - headway over 1f out - went second inside final 110yds - no match for winner,02:16.9,https://www.rp-assets.com/svg/4/6/5/284564.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,4,Colugo (IRE),4,3,5,4,Colin Keane,Ian Patrick Donoghue,136,0.2,Midfield - headway over 2f out - ran on inside final furlong - nearest finish(op 5/1),02:17.0,https://www.rp-assets.com/svg/2/7/8/314872.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,8,Aingeal Dorcha (IRE),7,4,17,3,Adam Browne-Souza,Andrew Slattery,127,2.5,Pressed leader - led over 2f out - headed over 1f out - weakened inside final furlong(op 18/1 tchd 20/1),02:17.4,https://www.rp-assets.com/svg/5/0/7/150705.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,7,Rock Basher (IRE),6,5,9,15,J M Sheridan,Denis Gerard Hogan,135,0.5,Prominent - challenging over 1f out - weakened inside final furlong(tchd 15/2),02:17.5,https://www.rp-assets.com/svg/2/9/0/254092.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,13,Hell Left Loose (GB),9,6,51,9,Mel Sheridan,Denis Gerard Hogan,119,3.5,Midfield - some headway inside final furlong - no impression(tchd 40/1),02:18.1,https://www.rp-assets.com/svg/b/0/4/362540b.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,12,Celtic Druid (IRE),4,7,9.5,10,James Ryan,T G McCourt,130,0.3,Midfield - some headway inside final furlong - no impression(tchd 8/1),02:18.1,https://www.rp-assets.com/svg/8/0/4/349408.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,3,Battle Borne (IRE),3,8,26,12,Robert Whearty,Gavin Cromwell,137,1.75,In touch with leaders - headway over 1f out - soon hung left - weakened inside final furlong(op 22/1 tchd 28/1),02:18.4,https://www.rp-assets.com/svg/6/3/1/292136.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,2,Doctor Grace (IRE),5,9,12,14,Adam Caffrey,Adrian McGuinness,139,1.25,Slowly away - towards rear throughout(op 12/1),02:18.6,https://www.rp-assets.com/svg/4/2/8/18824.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,5,Milverton (GB),6,10,34,6,Robbie Colgan,Karl Thornton,135,4.5,Never better than midfield(op 40/1),02:19.4,https://www.rp-assets.com/svg/b/0/5/278250b.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,9,Anightaway (IRE),4,11,34,13,Sean Davis,Sean Davis,134,4.75,Slowly away - towards rear throughout(op 16/1),02:20.2,https://www.rp-assets.com/svg/7/2/8/359827.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,10,La Campanella (IRE),3,12,67,1,Mark Crehan,Gerard Keane,131,6,Led - headed over 2f out - soon weakened quickly(op 33/1),02:21.2,https://www.rp-assets.com/svg/3/3/5/362533.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,15,Bella Boyne (IRE),3,13,67,2,Wesley Joyce,John C McConnell,116,11,Took keen hold - prominent - lost ground quickly over 3f out - eased over 1f out,02:23.0,https://www.rp-assets.com/svg/6/6/8/118866.svg
,Dundalk (AW) (IRE),2025-11-19,4:25,Book Online At DundalkStadium.com Handicap (Div I),,10.5f,Standard,AW,1,Jazz Forever (IRE),5,14,34,5,Ben Coen,Paul W Flynn,142,0.3,Slowly away - always behind(op 28/1),02:23.0,https://www.rp-assets.com/svg/0/3/4/267430.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,5,Nibras Rainbow (IRE),5,1,17,14,Robert Whearty,Gavin Cromwell,133,0,In touch with leaders - steady headway from 3f out - briefly led 2f out - soon pushed along - ridden and kept on well inside final furlong - led again final 110yds - won going away(op 11/1),02:16.7,https://www.rp-assets.com/svg/8/9/5/334598.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,2,Mapa (CAN),4,2,13,15,Rory Cleary,Ms Sheila Lavery,138,0.75,Prominent - chased clear leader after 3f - pressed leader 2f out - kept on(op 14/1),02:16.8,https://www.rp-assets.com/svg/3/9/0/308093.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,4,Someone's Wish (IRE),5,3,9,1,Declan McDonogh,Gordon Elliott,137,0.3,Midfield - steady headway from 3f out - pressed leader against near rail over 1f out - kept on(op 7/1),02:16.8,https://www.rp-assets.com/svg/9/0/6/214609.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,1,Thompson Gunner (IRE),4,4,2.4,6,Colin Keane,Cian Hughes,140,0.3,In touch with leaders - steady headway from 3f out - led going best 2f out - headed inside final furlong - weakened inside final 110yds(op 15/8 tchd 6/4),02:16.9,https://www.rp-assets.com/svg/b/7/8/151887b.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,3,Sarmiento Power (IRE),4,5,4.5,10,Robbie Colgan,Matthew J Smith,138,1.75,Held up in rear - still plenty to do on far side of group 2f out - kept on from over 1f out - never dangerous(op 10/3),02:17.2,https://www.rp-assets.com/svg/4/7/1/297174.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,8,Pure Granite (IRE),3,6,26,7,Wayne Hassett,John M Harney,126,0.5,Slowly away - midfield - switched left and brief headway 2f out - kept on final 110yds(tchd 22/1),02:17.2,https://www.rp-assets.com/svg/1/6/4/344461.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,11,Kitty Bear (IRE),3,7,10,2,Shane Foley,Andrew Slattery,123,1.5,Took keen hold - in touch with leaders - prominent 2f out - weakened gradually inside final furlong(op 17/2 tchd 10/1),02:17.5,https://www.rp-assets.com/svg/4/9/6/358694.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,13,Lady Luck (IRE),3,8,34,9,Killian Leonard,Rodger Sweeney,122,1.75,Towards rear - headway 3f out - outpaced 2f out - no impression inside final furlong,02:17.8,https://www.rp-assets.com/svg/c/8/9/18698c.svg
